id,title,price,release_date,quantity,description,key_search
660,FIGMA HULK,2400000,2020,5,Hulk 5/2016 Figma Good Smile Company Avengers action-figure,Hulk 5/2016 Figma Good Smile Company Avengers action-figure
661,FIGMA MIKU 2.0,1800000,2020,5,Max Factory Miku 2.0 Hatsune Miku 11/2013 Figma action-figure,Max Factory Miku 2.0 Hatsune Miku 11/2013 Figma action-figure
662,GENOS 1/6 - ONE PUNCH MAN,6800000,2020,5,1/6 threezero Genos Scale Figure 11/2017 One Punch Man action-figure,1/6 threezero Genos Scale Figure 11/2017 One Punch Man action-figure
663,FIGFIX HONOKA KOSAKA CHEER GIRL VER.,1280000,2020,5,Max Factory Cheer Girl ver. figFIX Honoka Kosaka love live action-figure,Max Factory Cheer Girl ver. figFIX Honoka Kosaka love live action-figure
664,FIGMA - IRON MAN 3: IRON MAN MARK 42,1880000,2020,5,3/2017 Nendoroid Date A Live Tooka Tohka good smile company action-figure,3/2017 Nendoroid Date A Live Tooka Tohka good smile company action-figure
665,VARIABLE ACTION HEROES : NAMI,1900000,2020,5,ONE PIECE Nami 1/2016 MegaHouse Other Figure action-figure,ONE PIECE Nami 1/2016 MegaHouse Other Figure action-figure
666,CU-POCHE FRIENDS - DINO POSABLE FIGURE,1120000,2020,5,Cu-poche Friends Kotobukiya Cu-poche Friends- Dino Posable Dino Posable Cu-poche 08/2017 action-figure,Cu-poche Friends Kotobukiya Cu-poche Friends- Dino Posable Dino Posable Cu-poche 08/2017 action-figure
667,PARFOM - KANTAI COLLECTION -KAN COLLE- MURASAME KAI POSABLE FIGURE,1620000,2020,5,Phat Company Murasame Murasame Kai Posable Kai Murasame Kai Kantai Collection 10/2017 action-figure,Phat Company Murasame Murasame Kai Posable Kai Murasame Kai Kantai Collection 10/2017 action-figure
668,FIGMA MIO HONDA CINDERELLA PROJECT VER,1440000,2020,5,THE IDOLM@STER Cinderella Girls Mio Honda Max Factory 13/2016 figma action-figure,THE IDOLM@STER Cinderella Girls Mio Honda Max Factory 13/2016 figma action-figure
669,FIGMA - SILENT HILL 2: RED PYRAMID THING,2500000,2020,5,Silent Hill 2 Red Pyramid Thing Figma Max Factory 10/2015 action-figure,Silent Hill 2 Red Pyramid Thing Figma Max Factory 10/2015 action-figure
670,FIGMA OOI,1350000,2020,5,12/2015 Ooi Figma Max Factory Kan Colle action-figure,12/2015 Ooi Figma Max Factory Kan Colle action-figure
671,VARIABLE ACTION HEROES - ONE PIECE: RED-HAIRED SHANKS,3350000,2020,5,Variable Action Heroes 07/2017 One Piece Red- Haired Shanks MegaHouse Heroes Action Figure Shanks action-figure,Variable Action Heroes 07/2017 One Piece Red- Haired Shanks MegaHouse Heroes Action Figure Shanks action-figure
672,LUNAFREYA NOX FLEURET - PLAY ARTS KAI - FINAL FANTASY XV,3100000,2020,5,Action Figure Lunafreya Nox Fleuret Square Enix Final Fantasy XV 7/2017 action-figure,Action Figure Lunafreya Nox Fleuret Square Enix Final Fantasy XV 7/2017 action-figure
673,FIGMA SAKURA KINOMOTO UNIFORM VER,2750000,2020,5,1/2016 Sakura Kinomoto Max Factory Figma Cardcaptor Sakura action-figure,1/2016 Sakura Kinomoto Max Factory Figma Cardcaptor Sakura action-figure
674,FIGMA ASUNA ALO VER,2580000,2020,5,Figma Asuna Sword Art Online 12/2015 Max Factory action-figure,Figma Asuna Sword Art Online 12/2015 Max Factory action-figure
675,FIGMA IONA,1650000,2020,5,11/2015 Iona Figma Arpeggio of Blue Steel -Ars Nova- Max Factory action-figure,11/2015 Iona Figma Arpeggio of Blue Steel -Ars Nova- Max Factory action-figure
676,FIGMA THE THINKER PLATER VER,1450000,2020,5,Figma The Table Museum The Thinker FREEing 1/2016 action-figure,Figma The Table Museum The Thinker FREEing 1/2016 action-figure
